Interarrival Time, Arrival Rate, Avg. Time in System,Avg. Time in Queue,Theoretical Time in Queue
11.00,0.0909,87.911749,77.981207,100.000000
12.00,0.0833,57.001733,47.018867,50.000000
13.00,0.0769,40.757017,30.767047,33.333333
14.00,0.0714,32.650978,22.690749,25.000000
15.00,0.0667,29.710240,19.743661,20.000000
16.00,0.0625,25.402946,15.443468,16.666667
17.00,0.0588,25.390029,15.207725,14.285714
18.00,0.0556,21.892938,11.843533,12.500000
19.00,0.0526,20.718878,10.651608,11.111111
20.00,0.0500,21.515151,11.391249,10.000000
21.00,0.0476,19.417303,9.397781,9.090909
22.00,0.0455,18.989743,8.937622,8.333333
23.00,0.0435,17.966998,7.933175,7.692308
24.00,0.0417,17.195265,7.182935,7.142857
25.00,0.0400,16.711282,6.718789,6.666667
26.00,0.0385,16.411423,6.342632,6.250000
27.00,0.0370,15.626470,5.556122,5.882353
28.00,0.0357,15.695023,5.598302,5.555556
29.00,0.0345,15.430399,5.299528,5.263158
30.00,0.0333,15.193862,5.048431,5.000000
31.00,0.0323,15.259915,5.034894,4.761905
32.00,0.0312,14.441868,4.473106,4.545455
33.00,0.0303,14.117925,4.179009,4.347826
34.00,0.0294,14.043978,4.045642,4.166667
35.00,0.0286,13.897980,3.942594,4.000000
36.00,0.0278,13.689409,3.786773,3.846154
37.00,0.0270,13.230038,3.445304,3.703704
38.00,0.0263,13.801468,3.802350,3.571429
39.00,0.0256,13.690973,3.711277,3.448276
40.00,0.0250,13.675811,3.651928,3.333333
41.00,0.0244,13.528878,3.504356,3.225806
42.00,0.0238,13.733520,3.628349,3.125000
43.00,0.0233,13.337859,3.265646,3.030303
44.00,0.0227,13.410226,3.339452,2.941176
45.00,0.0222,13.087260,3.082611,2.857143
46.00,0.0217,12.940971,2.984579,2.777778
47.00,0.0213,13.055038,3.075772,2.702703
48.00,0.0208,12.817154,2.878852,2.631579
49.00,0.0204,12.837327,2.869134,2.564103
50.00,0.0200,12.614745,2.699780,2.500000
